,State,District,Market,Commodity,Variety,Arrival_Date,Min,Max
561,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-29,800,1200
504,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-01,2000,3000
1177,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-01,2500,2500
836,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-01,720,1670
865,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-02,540,930
1196,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-02,2000,2000
535,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-02,1600,2400
1217,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-03,1300,1500
564,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-03,800,1400
894,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-03,380,710
923,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-04,400,700
595,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-04,600,1000
1243,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-04,800,1000
1261,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-05,2000,2000
982,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-06,400,710
1282,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-06,2000,2000
644,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-06,800,1600
1308,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-07,2000,2000
1011,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-07,680,1000
668,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-07,600,1000
1334,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-08,1700,2000
1041,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-08,440,880
1361,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-09,1300,1500
1062,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-03-09,320,820
716,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-03-09,700,900
1383,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-03-10,800,1000
